COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 55; 26.86; 10.7895; 36.0825; Distance; 19.38
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 56; 13.43; 14.386; 36.0825; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 57; 26.86; 17.9825; 36.0825; Distance; 12.98
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 58; 40.29; 14.386; 36.0825; Distance; 20.96
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 59; 26.86; 21.579; 28.866; Distance; 7.19
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 60; 13.43; 10.7895; 28.866; Distance; 22.44
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 61; 26.86; 7.193; 28.866; Distance; 21.58
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 62; 40.29; 10.7895; 28.866; Distance; 22.44
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 63; 13.43; 17.9825; 28.866; Distance; 17.23
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 64; 26.86; 14.386; 28.866; Distance; 14.39
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 65; 40.29; 17.9825; 28.866; Distance; 17.23
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 66; 40.29; 25.1755; 28.866; Distance; 13.9
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 67; 13.43; 32.3685; 28.866; Distance; 13.9
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 69; 13.43; 25.1755; 28.866; Distance; 13.9
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 70; 26.86; 50.351; 28.866; Distance; 21.58
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 71; 40.29; 32.3685; 28.866; Distance; 13.9
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 72; 26.86; 35.965; 28.866; Distance; 7.19
COM Central ;68; [ 26.86   28.772  28.866]; COM Molec; 73; 13.43; 39.5615; 28.866; Distance; 17.23
